,Capa do livro,Título,Páginas,Horas,Gênero,Faixa etária,Formato,Editora,Idioma,Série ou único?,Por que li?,Origem do livro?,Como conheci?,Nome,País,Cor,Se identifica como...,Primeira vez lendo autore,Protagonista LGBTQ+,Diversidade etnica/racial,#OwnVoices?,NOTA,LIDO
,https://m.media-amazon.com/images/I/91EmOEDkGiL._SY466_.jpg,E eu não sou uma mulher?,,2:25:00,Não Ficção,Adulto,Audiolivro,Imã Editorial,Português,Livro único,Diversão,Assinatura digital,Booktube,Sojourner Truth,EUA,Negro,Feminino,TRUE,FALSE,TRUE,TRUE,,LIDO
,,Infiel - A história de uma mulher que desafiou o islã,320,0:00:00,Autobiografia,Adulto,Paperback,Companhia Das Letras,Português,Livro único,Desafio LPM,Estava na estante,Outro,Ayaan Hirsi Ali,Somália,Negro,Feminino,TRUE,FALSE,TRUE,TRUE,,LENDO
,https://static.skeelo.com/remote/320/480/100/https://skoob.s3.amazonaws.com/livros/122364042/A_MORTE_DE_ARTHUR_1695250147122364042SK-V11695250148B.jpg,A morte de Arthur,,2:12:00,Clássico,Adulto,Audiolivro,Storyside,Português,Livro único,Diversão,Assinatura digital,Booktube,Sir Thomas Malory,Reino Unido,Branco,Masculino,TRUE,FALSE,FALSE,FALSE,1,LIDO
,,O involuntário ato de respirar,320,0:00:00,Ficção,Adulto,Brochura,Dublinense,Português,Livro único,Desafio LPM,Estava na estante,Já conhecia autore,JJ Bola,República Democrática do Congo,Negro,Masculino,TRUE,FALSE,FALSE,FALSE,,NÃO LIDO
,https://m.media-amazon.com/images/I/41RXNf0VC6L._SY445_SX342_ML2_.jpg,A Menina da Foto,,05:22:00,Autobiografia,Adulto,Audiolivro,,Português,Livro único,Desafio LPM,Assinatura digital,Outro,Kim Phuc Phan Thi,Vietnã,Asiático,Feminino,TRUE,FALSE,TRUE,TRUE,3,LIDO
,https://m.media-amazon.com/images/I/319sNzusNeS._SY445_SX342_ML2_.jpg,A cabeça do santo,176,0:00:00,Fantasia,Adulto,Brochura,Companhia Das Letras,Português,Livro único,Diversão,Estava na estante,Já conhecia autore,Socorro Acioli,Brasil,Branco,Feminino,FALSE,FALSE,FALSE,FALSE,5,LIDO
,https://m.media-amazon.com/images/I/81JBTWSOI3L._SY466_.jpg,Nihonjin ,,02:12:00,Ficção,Adulto,Audiolivro,Fósforo,Português,Livro único,Desafio LPB,Assinatura digital,Outro,Oscar Nakasato,Brasil,Outro,Masculino,TRUE,FALSE,TRUE,TRUE,4,LIDO
,https://static.skeelo.com/remote/320/480/100/https://skoob.s3.amazonaws.com/livros/1724/A_NOITE_DAS_BRUXAS_1246214490B.jpg,A Noite das Bruxas ,213,,Investigação,Adulto,Brochura,Record,Português,Livro único,Diversão,Estava na estante,Já conhecia autore,Agatha Chrstie,EUA,Branco,Feminino,FALSE,FALSE,FALSE,FALSE,"4,5",LIDO
,https://static.skeelo.com/remote/320/480/100/https://skoob.s3.amazonaws.com/livros/5165/OS_RELOGIOS_1246213293B.jpg,Os Relógios,253,00:00:00.00,Investigação,Adulto,Brochura,Record ,Português,Livro único,Diversão,Estava na estante,Já conhecia autore,Agatha Chrstie,EUA,Branco,Feminino,FALSE,FALSE,FALSE,FALSE,"3,5",LIDO
,https://static.skeelo.com/remote/320/480/100/https://skoob.s3.amazonaws.com/livros/926773/SE_DEUS_ME_CHAMAR_NAO_VOU_1665802770926773SK-V11665802772B.jpg,Se deus me chamar não vou,,01:36:00,Romance,Adulto,Audiolivro,,Português,Livro único,Diversão,Assinatura digital,Outro,Mariana Salomão Carrara,Brasil,Branco,Feminino,TRUE,TRUE,FALSE,FALSE,"4,5",LIDO
,,Holocausto Brasileiro,280,0:00:00,Não Ficção,Adulto,Brochura,Intrínseca,Português,Livro único,Diversão,Estava na estante,Booktube,Daniela Arbex,Brasil,Branco,Feminino,TRUE,FALSE,FALSE,FALSE,,NÃO LIDO
,https://m.media-amazon.com/images/I/41SI+85GteL._SY445_SX342_ML2_.jpg,Vamos comprar um poeta,,1:24:00,Ficção,Adulto,Audiolivro,Dublinense,Português,Livro único,Desafio LPM,Assinatura digital,Bookstagram,Afonso Cruz,Portugal,Branco,Masculino,TRUE,FALSE,FALSE,FALSE,4,LIDO
,https://m.media-amazon.com/images/I/71h7vegO0cL._SY466_.jpg,A gente mira no amor e acerta na solidão,,3:43:00,Acadêmico,Adulto,Audiolivro,Paidós,Português,Livro único,Diversão,Assinatura digital,Bookstagram,Ana Suy,Brasil,Branco,Feminino,TRUE,FALSE,FALSE,FALSE,"3,5",LIDO
,https://static.skeelo.com/remote/320/480/100/https://skoob.s3.amazonaws.com/livros/106468/JOGOS_VORAZES_1447803914106468SK1447803914B.jpg,Jogos Vorazes,,06:18:00,Ficção Distópica,Jovem adulto (YA),Audiolivro,Rocco,Português,Trilogia,Diversão,Assinatura digital,Booktube,Suzanne Collin,EUA,Branco,Feminino,TRUE,FALSE,FALSE,FALSE,4,LIDO
,https://static.skeelo.com/remote/320/480/100/https://skoob.s3.amazonaws.com/livros/144526/EM_CHAMAS_1362102330B.jpg,Em Chamas,,06:18:00,Ficção Distópica,Jovem adulto (YA),Audiolivro,Rocco,Português,Trilogia,Diversão,Assinatura digital,Booktube,Suzanne Collin,EUA,Branco,Feminino,FALSE,FALSE,FALSE,FALSE,4,LIDO
,https://static.skeelo.com/remote/320/480/100/https://skoob.s3.amazonaws.com/livros/175390/A_ESPERANCA_1447804227175390SK1447804227B.jpg,A Esperança,,06:18:00,Ficção Distópica,Jovem adulto (YA),Audiolivro,Rocco,Português,Trilogia,Diversão,Assinatura digital,Booktube,Suzanne Collin,EUA,Branco,Feminino,FALSE,FALSE,FALSE,FALSE,"4,5",LIDO
,https://m.media-amazon.com/images/I/41XG4g5elGL._SY445_SX342_ML2_.jpg,Antes Que O Café Esfrie 4,,2:17:00,Ficção,Adulto,Audiolivro,Valentina,Português,Série,Diversão,Assinatura digital,Outro,Toshikazu Kawaguchi,Japão,Asiático,Masculino,FALSE,FALSE,FALSE,FALSE,"4,5",LIDO
,https://static.skeelo.com/remote/320/480/100/https://skoob.s3.amazonaws.com/livros/848/O_RETRATO_DE_DORIAN_GRAY_1529585782848SK1529585795B.jpg,O retrato de Dorian Gray,,,Clássico,Adulto,Audiolivro,Storyside,Português,Livro único,Diversão,Assinatura digital,Já conhecia autore,Oscar Wilde,Irlanda,Branco,Masculino,TRUE,FALSE,FALSE,FALSE,"2,5",LIDO
,https://m.media-amazon.com/images/I/91gBa45ju2L._SY466_.jpg,Mar da tranquilidade,256,0:00:00,Ficção Científica,Adulto,Brochura,Intrínseca,Português,Livro único,Desafio LPM,Estava na estante,Booktube,Emily St. John Mandel,Canadá,Branco,Feminino,TRUE,TRUE,FALSE,FALSE,"4,5",LIDO
,,,,,,,,,,,,,,,,,,,,,,,
,,48,9.230,80:04:00,(gráfico),(gráfico),(gráfico),(gráfico),(gráfico),(gráfico),(gráfico),(gráfico),(gráfico),,(gráfico),(gráfico),(gráfico),(resumo),(resumo),(resumo),(resumo),(gráfico),40
